station_name,station_line,count,actual_average,predicted_average,mae,mape,signed_error_percent
喜多見,小田原線,14,70357142.85714285,58793909.72570782,12969980.257336807,16.62023423391694,-10.599008993454433
ときわ台,東上本線,14,42571428.571428575,35929832.04027491,7832995.404746081,17.25898728816863,-12.999916168563441
糀谷,空港線,14,45714285.71428572,38179980.21579721,9186575.377918335,17.31253561364723,-10.518616294639616
西台,6号線三田線,14,29692857.14285714,26303153.985529833,5264803.714739112,17.965664498048515,-4.31474288011933
祖師ヶ谷大蔵,小田原線,14,69785714.28571428,60685432.334712096,14149742.84712706,18.09932311862695,-6.193116438124243
南阿佐ヶ谷,4号線丸ノ内線,14,68821428.57142857,60220089.06023509,11181932.869486067,18.326595744265322,-6.202717424578425
東高円寺,4号線丸ノ内線,14,58142857.14285714,50660444.37590307,10494778.106725128,18.744489390787816,-7.579419106528481
浅草橋,総武線,14,54714285.71428572,46385725.61617763,11836087.682863276,21.628901342323868,-11.164053568920357
不動前,目黒線,14,85642857.14285715,70828294.20513716,18455245.232049562,21.797049965335816,-17.563698460301413
大久保,中央線,13,47923076.92307692,45823821.61299869,5172812.995698378,11.311610265401782,-4.688982542079385
つつじヶ丘,京王線,13,51076923.07692308,45586392.740421124,6497143.673797897,12.107914156562808,-8.6084146046401
本郷三丁目,4号線丸ノ内線,13,104076923.07692307,85077668.92668088,19453903.36148097,14.662266455508083,-12.843669610553034
成城学園前,小田原線,13,78076923.07692307,64614582.09030405,20218141.955336057,15.409068606520368,-2.657585168803961
高円寺,中央線,13,50676923.07692308,45117004.59498552,8130448.720941154,15.938244914405455,-10.367743283055152
雑色,本線,13,33538461.53846154,28465374.577944376,5461613.959543549,16.291808170699735,-14.400419558178937
京王八王子,京王線,13,26700000.0,24910327.808287416,4238354.637531575,17.479701924284953,-3.0432834050824145
天王洲アイル,東京モノレール羽田線,13,144846153.84615386,110003551.08298603,35752446.22681095,21.60882298215139,-20.908943394733605
代々木,中央線,13,73538461.53846154,59284111.17623244,16663189.489098229,24.208109665556098,-7.9223498996846535
人形町,1号線浅草線,13,89153846.15384616,88406716.44821526,31549180.136477586,58.99180706759858,27.389378256441812
中野坂上,4号線丸ノ内線分岐線,12,42616666.666666664,38328004.96210883,4453348.880459371,10.854742923258305,-10.12069657125708
西巣鴨,6号線三田線,12,67000000.0,59937534.208792515,9621591.58291232,12.37305967143399,-6.713789553648792
参宮橋,小田原線,12,110500000.0,99812828.35440218,16840951.80349211,12.931189982353503,-6.383584428983038
四ツ木,押上線,12,37583333.333333336,32175131.973034497,5687073.395574715,14.195363596710365,-13.480307096002988
武蔵新田,東急多摩川線,12,57916666.666666664,49568639.294907846,8812959.995257912,14.41148259255902,-13.094606300036796
菊川,10号線新宿線,12,56250000.0,47486856.03005615,9873777.767377669,14.92989003255083,-12.232623423301206
西新宿,4号線丸ノ内線,12,91083333.33333333,77077038.5159987,17042850.102295604,15.395458554138779,-6.953630972122478
新御徒町,12号線大江戸線,12,67166666.66666667,56222842.59131575,11735320.567183146,15.675845162428246,-14.005626073713904
大森町,本線,12,45666666.666666664,40607774.19938819,6788787.77998585,15.77731896227604,-8.195495912174138
本所吾妻橋,1号線浅草線,12,39500000.0,34873778.0454498,6460220.917511899,16.183222166065413,-8.087232787192852
下落合,新宿線,12,60233333.333333336,49355300.11995088,11618505.063294379,16.46350985000772,-12.990054633643007
落合南長崎,12号線大江戸線,12,40333333.333333336,34336231.09959873,7092010.997281025,16.56684050966751,-10.52961500117443
神楽坂,5号線東西線,12,93583333.33333333,77058512.90422115,18219766.212602276,16.66041626002016,-14.673573998475
西国分寺,武蔵野線,12,53750000.0,44248367.990149364,9509753.005391631,16.717490929870156,-16.69903412182244
上石神井,新宿線,12,49416666.666666664,45904878.1259158,7394690.728910259,17.03421081816632,-5.737328155173515
乃木坂,9号線千代田線,12,111166666.66666667,101063932.71640457,19285349.55951818,17.297697179617174,-9.24959414721817
東向島,伊勢崎線,12,55266666.666666664,47241576.30180133,9293606.668593394,17.69533655038894,-8.742267387413257
立会川,本線,12,52800000.0,43461214.560403466,10156204.415339781,17.89868982740298,-11.178307010925877
水天宮前,11号線半蔵門線,12,83833333.33333333,75178662.57750154,13059470.68965511,18.124712577795474,-7.472984340163884
一之江,10号線新宿線,12,46250000.0,42704143.100795716,7923828.745286871,19.111843387743082,-3.349405943602049
森下,10号線新宿線,12,84750000.0,67365286.77263227,17931312.453713614,19.373813347447243,-18.36159255791782
河辺,青梅線,12,16475000.0,16365707.103209184,3048649.194298955,19.662642588317798,4.48055937041981
西大島,10号線新宿線,12,58500000.0,49307148.68486946,12754744.75029487,20.288314349992742,-9.656726550864521
上野毛,大井町線,12,61566666.666666664,49745820.94388234,14237041.795092998,24.805525339357384,-10.235518608141708
新江古田,12号線大江戸線,11,67090909.09090909,60956013.16989165,7033885.331505134,10.733912705881522,-9.794636602841964
福生,青梅線,11,20545454.545454547,18337958.69879926,2297144.672835845,10.801649757363677,-10.29936642694122
西調布,京王線,11,40990909.09090909,38180964.10484719,4658376.081622522,11.440421752108762,-4.669298452654168
早稲田,5号線東西線,11,53454545.45454545,45904077.9838549,7739601.4273227565,11.975521101171601,-11.63164118002215
瑞江,10号線新宿線,11,50454545.45454545,44926842.4089798,6163380.9219264425,12.07630027837282,-10.512483278201683
志茂,7号線南北線,11,62818181.81818182,54931681.05034315,8242987.056764386,12.247519416882023,-11.333452009380208
新板橋,6号線三田線,11,47000000.0,41746364.70410984,6038808.644944289,12.509608552663572,-9.44964034604424
新大久保,山手線,11,58545454.54545455,54517002.11194348,7443664.411808426,13.088898262484209,-7.375868215204983
武蔵野台,京王線,11,27818181.818181816,27882947.20072275,2706168.3966337047,13.327314602160868,5.084135401736989
鶯谷,東北線,11,67000000.0,57172526.039451174,10084324.711874126,13.736005348853723,-13.075707248274842
戸越,1号線浅草線,11,63363636.36363637,54096232.76498627,9953226.763394577,14.284733446145498,-11.620188992904325
中神,青梅線,11,39000000.0,35144166.82169419,5311671.846172179,14.597606699682792,-7.31841336035094
小伝馬町,2号線日比谷線,11,104454545.45454545,88101578.37922673,17159223.5003874,15.461668175848285,-13.84726499159454
湯島,9号線千代田線,11,107818181.81818181,84350903.85395187,23467277.964229956,17.43451027741363,-17.43451027741363
築地,2号線日比谷線,11,92363636.36363636,77406706.31880035,16432917.75441606,18.238549513067376,-16.460251067790214
潮見,京葉線,11,71545454.54545455,57930487.43632231,13614967.10913223,19.463905363643896,-19.463905363643896
池上,池上線,11,39645454.54545455,38673666.828897975,7619052.374493834,19.88283350052208,-2.1297646076052206
市ヶ谷,中央線,11,100818181.81818181,93279013.96755137,22151851.383844133,19.91564064716927,-3.0754655226303487
鶴川,小田原線,11,18445454.545454547,17864829.60666829,3632815.426339365,20.74704722871284,1.5586073661782178
狛江,小田原線,11,38363636.36363637,35696087.8282824,8788899.951482626,23.194146095422337,-3.233349796531805
中村橋,池袋線,11,46954545.45454545,41113974.48693527,8599335.660462273,24.35964254071897,-5.2021808327993035
一橋学園,多摩湖線,10,39000000.0,35298133.054022774,4186197.211411023,10.637440482453098,-9.191978601362752
東雲,臨海副都心線,10,112300000.0,99238203.70171028,13419018.366057364,11.544388516528901,-11.246703460055862
赤坂,9号線千代田線,10,119900000.0,109507678.51595792,17018753.1364523,11.811407207593685,-0.5813756750992761
上北沢,京王線,10,50500000.0,44349738.866905436,6390043.331708064,11.983524135583716,-11.590438564086176
中河原,京王線,10,44400000.0,39732061.30244599,6157905.566545548,12.81300913123373,-8.811332589829373
鵜の木,東急多摩川線,10,53370000.0,49846224.88566503,8142180.529800734,13.4684002646907,-3.735609216769892
高輪台,1号線浅草線,10,113200000.0,100955409.64597258,18259550.34705499,13.908988593357929,-7.605763208275034
